50 hidden neurons, 0.1 learning rate
Format is as follows {epoch_num, accuracy_train, accuracy_test}
1, 90.76, 97.54
2, 92.38, 98.06
3, 92.93, 98.24
4, 93.22, 98.33
5, 93.41, 98.39
6, 93.57, 98.42
7, 93.70, 98.45
8, 93.81, 98.47
9, 93.92, 98.48
10, 94.01, 98.50
11, 94.10, 98.51
12, 94.17, 98.52
13, 94.24, 98.53
14, 94.30, 98.54
15, 94.36, 98.54
16, 94.41, 98.55
17, 94.46, 98.56
18, 94.50, 98.57
19, 94.54, 98.57
20, 94.57, 98.58
21, 94.61, 98.58
22, 94.64, 98.59
23, 94.66, 98.59
24, 94.69, 98.60
25, 94.71, 98.60
26, 94.73, 98.60
27, 94.76, 98.61
28, 94.78, 98.61
29, 94.79, 98.61
30, 94.81, 98.62
31, 94.83, 98.62
32, 94.84, 98.62
33, 94.86, 98.63
34, 94.87, 98.63
35, 94.88, 98.63
36, 94.89, 98.63
37, 94.91, 98.63
38, 94.92, 98.64
39, 94.93, 98.64
40, 94.94, 98.64
41, 94.95, 98.64
42, 94.95, 98.64
43, 94.96, 98.64
44, 94.97, 98.65
45, 94.98, 98.65
46, 94.99, 98.65
47, 94.99, 98.65
48, 95.00, 98.65
49, 95.01, 98.65
50, 95.01, 98.65
