100 hidden neurons, 0.1 learning rate
Format is as follows {epoch_num, accuracy_train, accuracy_test}
1, 93.90, 98.68
2, 94.42, 98.92
3, 94.27, 99.03
4, 93.98, 99.10
5, 93.67, 99.14
6, 93.39, 99.16
7, 93.15, 99.19
8, 92.94, 99.20
9, 92.77, 99.22
10, 92.63, 99.23
11, 92.51, 99.24
12, 92.41, 99.25
13, 92.33, 99.26
14, 92.26, 99.26
15, 92.20, 99.27
16, 92.15, 99.28
17, 92.10, 99.28
18, 92.06, 99.29
19, 92.03, 99.29
20, 92.00, 99.30
21, 91.97, 99.30
22, 91.95, 99.31
23, 91.93, 99.31
24, 91.92, 99.32
25, 91.90, 99.32
26, 91.89, 99.32
27, 91.88, 99.33
28, 91.86, 99.33
29, 91.85, 99.33
30, 91.85, 99.34
31, 91.84, 99.34
32, 91.83, 99.34
33, 91.82, 99.34
34, 91.82, 99.34
35, 91.81, 99.35
36, 91.81, 99.35
37, 91.80, 99.35
38, 91.80, 99.35
39, 91.79, 99.35
40, 91.79, 99.36
41, 91.78, 99.36
42, 91.78, 99.36
43, 91.78, 99.36
44, 91.77, 99.36
45, 91.77, 99.36
46, 91.77, 99.36
47, 91.76, 99.36
48, 91.76, 99.37
49, 91.76, 99.37
50, 91.75, 99.37
